disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Heart Failure,Atrial Fibrillation,Cancer Other,low_n,9562,7,0.00073,7,5.64,1.24,0.499,2.555,poisson_exact,includes_1,,,,,,,
Hypertension,Coronary Heart Disease,Stroke Cerebrovascular,low_n,3359,6,0.00179,6,2.41,2.49,0.914,5.421,poisson_exact,includes_1,,,,,,,
Hypertension,Coronary Heart Disease,Osteoarthritis,low_n,3081,6,0.00195,6,5.81,1.033,0.379,2.249,poisson_exact,includes_1,,,,,,,
Hypertension,Heart Failure,Atrial Fibrillation,low_n,3490,6,0.00172,6,2.19,2.743,1.007,5.97,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Other,low_n,7798,6,0.00077,6,3.21,1.868,0.685,4.065,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Anxiety,low_n,6293,6,0.00095,6,1.94,3.097,1.137,6.742,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,Atrial Fibrillation,low_n,6283,6,0.00095,6,3.46,1.732,0.635,3.769,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,COPD,low_n,7084,6,0.00085,6,3.13,1.92,0.705,4.179,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Cancer Other,low_n,8381,6,0.00072,6,6.93,0.866,0.318,1.884,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Substance Use Disorder,Cancer Other,low_n,9422,6,0.00064,6,1.11,5.414,1.987,11.783,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Substance Use Disorder,low_n,10058,6,0.0006,6,2.43,2.467,0.905,5.369,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Peripheral Vascular Disease,Cancer Other,low_n,9523,6,0.00063,6,2.59,2.314,0.849,5.037,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Substance Use Disorder,Osteoarthritis,low_n,8870,6,0.00068,6,2.89,2.079,0.763,4.525,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Osteoarthritis,Cancer Prostate,low_n,8719,6,0.00069,6,6.33,0.948,0.348,2.064,poisson_exact,includes_1,,,,,,,
Hypertension,Diabetes Mellitus,Coronary Heart Disease,low_n,3303,5,0.00151,5,2.53,1.976,0.642,4.612,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Stroke Cerebrovascular,low_n,8012,5,0.00062,5,2.36,2.122,0.689,4.953,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Substance Use Disorder,Cancer Other,low_n,8788,5,0.00057,5,0.97,5.173,1.68,12.071,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Chronic Kidney Disease,low_n,5924,5,0.00084,5,2.57,1.945,0.631,4.538,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Atrial Fibrillation,Peripheral Vascular Disease,low_n,6375,5,0.00078,5,1.87,2.673,0.868,6.238,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Atrial Fibrillation,Osteoarthritis,low_n,5634,5,0.00089,5,7.83,0.638,0.207,1.489,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,Substance Use Disorder,low_n,9031,5,0.00055,5,1.67,3.003,0.975,7.007,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,Cancer Other,low_n,8570,5,0.00058,5,4.11,1.217,0.395,2.84,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,Anxiety,low_n,9065,5,0.00055,5,1.39,3.589,1.165,8.376,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Chronic Kidney Disease,low_n,8264,5,0.00061,5,3.74,1.338,0.435,3.123,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Substance Use Disorder,low_n,8830,5,0.00057,5,2.56,1.952,0.634,4.556,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,COPD,Osteoarthritis,low_n,6232,5,0.0008,5,4.3,1.163,0.378,2.714,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,COPD,Cancer Other,low_n,6671,5,0.00075,5,2.71,1.845,0.599,4.305,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Depression,low_n,9268,5,0.00054,5,1.1,4.534,1.472,10.58,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Substance Use Disorder,low_n,9707,5,0.00052,5,1.72,2.914,0.946,6.8,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,Cancer Prostate,low_n,9871,5,0.00051,5,3.26,1.532,0.497,3.574,poisson_exact,includes_1,,,,,,,
Hypertension,Diabetes Mellitus,Hyperlipidemia,suppressed,2819,,,,2.34,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Stroke Cerebrovascular,suppressed,3341,,,,1.05,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Heart Failure,suppressed,3405,,,,1.1,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Atrial Fibrillation,suppressed,3356,,,,2.06,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Peripheral Vascular Disease,suppressed,3397,,,,0.63,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,COPD,suppressed,2646,,,,0.89,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Kidney Disease,suppressed,3277,,,,0.75,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Liver Disease,suppressed,3258,,,,0.39,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Depression,suppressed,3237,,,,0.43,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Substance Use Disorder,suppressed,3367,,,,0.58,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoarthritis,suppressed,3059,,,,2.59,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Rheumatoid Arthritis,suppressed,3382,,,,0.21,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoporosis,suppressed,3371,,,,0.26,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Hypothyroidism,suppressed,3337,,,,0.29,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Sleep Apnea,suppressed,3395,,,,0.5,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Lung,suppressed,3407,,,,0.44,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Colorectal,suppressed,3367,,,,0.47,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Prostate,suppressed,3317,,,,1.14,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Other,suppressed,3194,,,,1.54,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Anxiety,suppressed,3381,,,,0.55,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Stroke Cerebrovascular,suppressed,2847,,,,2.12,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Heart Failure,suppressed,2876,,,,1.82,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Atrial Fibrillation,suppressed,2843,,,,4.02,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Peripheral Vascular Disease,suppressed,2872,,,,1.05,,,,,,,,,,,,
Hypertension,Hyperlipidemia,COPD,suppressed,2225,,,,1.62,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Kidney Disease,suppressed,2756,,,,1.3,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Liver Disease,suppressed,2746,,,,0.54,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Depression,suppressed,2745,,,,0.86,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Substance Use Disorder,suppressed,2836,,,,1.0,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Osteoarthritis,suppressed,2588,,,,5.22,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Rheumatoid Arthritis,suppressed,2849,,,,0.41,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Osteoporosis,suppressed,2842,,,,0.54,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Hypothyroidism,suppressed,2816,,,,0.55,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Sleep Apnea,suppressed,2865,,,,0.69,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Lung,suppressed,2872,,,,0.8,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Colorectal,suppressed,2841,,,,0.98,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Prostate,suppressed,2804,,,,2.52,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Other,suppressed,2687,,,,2.84,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Anxiety,suppressed,2853,,,,1.11,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Heart Failure,suppressed,3425,,,,2.23,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Peripheral Vascular Disease,suppressed,3418,,,,1.29,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,COPD,suppressed,2662,,,,1.92,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Chronic Kidney Disease,suppressed,3297,,,,1.58,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Chronic Liver Disease,suppressed,3276,,,,0.62,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Depression,suppressed,3256,,,,0.97,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Substance Use Disorder,suppressed,3383,,,,1.09,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Rheumatoid Arthritis,suppressed,3397,,,,0.47,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Osteoporosis,suppressed,3386,,,,0.64,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Hypothyroidism,suppressed,3354,,,,0.63,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Sleep Apnea,suppressed,3413,,,,0.85,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Lung,suppressed,3425,,,,0.95,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Colorectal,suppressed,3386,,,,1.09,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Prostate,suppressed,3333,,,,2.76,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Other,suppressed,3213,,,,3.24,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Anxiety,suppressed,3401,,,,1.25,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Heart Failure,suppressed,3471,,,,1.16,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Atrial Fibrillation,suppressed,3425,,,,2.21,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Peripheral Vascular Disease,suppressed,3460,,,,0.68,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,COPD,suppressed,2696,,,,0.91,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Kidney Disease,suppressed,3334,,,,0.71,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Liver Disease,suppressed,3318,,,,0.31,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Depression,suppressed,3304,,,,0.44,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Substance Use Disorder,suppressed,3430,,,,0.64,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoarthritis,suppressed,3119,,,,2.5,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Rheumatoid Arthritis,suppressed,3440,,,,0.22,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoporosis,suppressed,3428,,,,0.34,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Hypothyroidism,suppressed,3397,,,,0.29,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Sleep Apnea,suppressed,3456,,,,0.35,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Lung,suppressed,3469,,,,0.48,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Colorectal,suppressed,3425,,,,0.47,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Prostate,suppressed,3372,,,,1.18,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Other,suppressed,3254,,,,1.46,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Anxiety,suppressed,3444,,,,0.56,,,,,,,,,,,,
Hypertension,Heart Failure,Peripheral Vascular Disease,suppressed,3529,,,,0.71,,,,,,,,,,,,
Hypertension,Heart Failure,COPD,suppressed,2747,,,,0.95,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Kidney Disease,suppressed,3400,,,,0.7,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Liver Disease,suppressed,3384,,,,0.32,,,,,,,,,,,,
Hypertension,Heart Failure,Depression,suppressed,3363,,,,0.41,,,,,,,,,,,,
Hypertension,Heart Failure,Substance Use Disorder,suppressed,3497,,,,0.61,,,,,,,,,,,,
Hypertension,Heart Failure,Osteoarthritis,suppressed,3177,,,,2.25,,,,,,,,,,,,
Hypertension,Heart Failure,Rheumatoid Arthritis,suppressed,3511,,,,0.21,,,,,,,,,,,,
Hypertension,Heart Failure,Osteoporosis,suppressed,3498,,,,0.33,,,,,,,,,,,,
Hypertension,Heart Failure,Hypothyroidism,suppressed,3464,,,,0.28,,,,,,,,,,,,
Hypertension,Heart Failure,Sleep Apnea,suppressed,3526,,,,0.41,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Lung,suppressed,3540,,,,0.48,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Colorectal,suppressed,3496,,,,0.43,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Prostate,suppressed,3443,,,,1.02,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Other,suppressed,3320,,,,1.38,,,,,,,,,,,,
Hypertension,Heart Failure,Anxiety,suppressed,3513,,,,0.52,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Peripheral Vascular Disease,suppressed,3479,,,,1.17,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,COPD,suppressed,2704,,,,1.71,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Kidney Disease,suppressed,3357,,,,1.4,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Liver Disease,suppressed,3339,,,,0.53,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Depression,suppressed,3315,,,,0.84,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Substance Use Disorder,suppressed,3449,,,,1.11,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Osteoarthritis,suppressed,3133,,,,5.16,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Rheumatoid Arthritis,suppressed,3460,,,,0.41,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Osteoporosis,suppressed,3452,,,,0.59,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Hypothyroidism,suppressed,3415,,,,0.56,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Sleep Apnea,suppressed,3475,,,,0.81,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Lung,suppressed,3489,,,,0.82,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Colorectal,suppressed,3447,,,,0.95,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Prostate,suppressed,3394,,,,2.37,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Other,suppressed,3276,,,,2.91,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Anxiety,suppressed,3463,,,,1.08,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,COPD,suppressed,2738,,,,0.57,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Kidney Disease,suppressed,3394,,,,0.4,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Liver Disease,suppressed,3377,,,,0.18,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Depression,suppressed,3354,,,,0.23,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Substance Use Disorder,suppressed,3488,,,,0.37,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Osteoarthritis,suppressed,3173,,,,1.28,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Rheumatoid Arthritis,suppressed,3502,,,,0.12,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Osteoporosis,suppressed,3489,,,,0.21,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Hypothyroidism,suppressed,3455,,,,0.16,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Sleep Apnea,suppressed,3517,,,,0.21,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Lung,suppressed,3531,,,,0.3,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Colorectal,suppressed,3487,,,,0.25,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Prostate,suppressed,3434,,,,0.59,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Other,suppressed,3315,,,,0.78,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Anxiety,suppressed,3504,,,,0.3,,,,,,,,,,,,
Hypertension,COPD,Chronic Kidney Disease,suppressed,2664,,,,0.6,,,,,,,,,,,,
Hypertension,COPD,Chronic Liver Disease,suppressed,2632,,,,0.24,,,,,,,,,,,,
Hypertension,COPD,Depression,suppressed,2621,,,,0.34,,,,,,,,,,,,
Hypertension,COPD,Substance Use Disorder,suppressed,2726,,,,0.42,,,,,,,,,,,,
Hypertension,COPD,Osteoarthritis,suppressed,2470,,,,1.93,,,,,,,,,,,,
Hypertension,COPD,Rheumatoid Arthritis,suppressed,2722,,,,0.18,,,,,,,,,,,,
Hypertension,COPD,Osteoporosis,suppressed,2712,,,,0.26,,,,,,,,,,,,
Hypertension,COPD,Hypothyroidism,suppressed,2688,,,,0.22,,,,,,,,,,,,
Hypertension,COPD,Sleep Apnea,suppressed,2733,,,,0.33,,,,,,,,,,,,
Hypertension,COPD,Cancer Lung,suppressed,2748,,,,0.37,,,,,,,,,,,,
Hypertension,COPD,Cancer Colorectal,suppressed,2718,,,,0.37,,,,,,,,,,,,
Hypertension,COPD,Cancer Prostate,suppressed,2669,,,,0.88,,,,,,,,,,,,
Hypertension,COPD,Cancer Other,suppressed,2589,,,,1.14,,,,,,,,,,,,
Hypertension,COPD,Anxiety,suppressed,2728,,,,0.43,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Chronic Liver Disease,suppressed,3258,,,,0.17,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Depression,suppressed,3242,,,,0.28,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Substance Use Disorder,suppressed,3364,,,,0.28,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Osteoarthritis,suppressed,3068,,,,1.7,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Rheumatoid Arthritis,suppressed,3376,,,,0.13,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Osteoporosis,suppressed,3366,,,,0.18,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Hypothyroidism,suppressed,3336,,,,0.19,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Sleep Apnea,suppressed,3389,,,,0.28,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Lung,suppressed,3403,,,,0.26,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Colorectal,suppressed,3362,,,,0.31,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Prostate,suppressed,3310,,,,0.77,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Other,suppressed,3199,,,,0.91,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Anxiety,suppressed,3377,,,,0.35,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Depression,suppressed,3214,,,,0.11,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Substance Use Disorder,suppressed,3353,,,,0.22,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Osteoarthritis,suppressed,3041,,,,0.64,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Rheumatoid Arthritis,suppressed,3359,,,,0.06,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Osteoporosis,suppressed,3348,,,,0.1,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Hypothyroidism,suppressed,3315,,,,0.08,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Sleep Apnea,suppressed,3373,,,,0.12,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Lung,suppressed,3387,,,,0.12,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Colorectal,suppressed,3349,,,,0.12,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Prostate,suppressed,3295,,,,0.27,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Cancer Other,suppressed,3176,,,,0.4,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Anxiety,suppressed,3360,,,,0.14,,,,,,,,,,,,
Hypertension,Depression,Substance Use Disorder,suppressed,3329,,,,0.21,,,,,,,,,,,,
Hypertension,Depression,Osteoarthritis,suppressed,3024,,,,1.03,,,,,,,,,,,,
Hypertension,Depression,Rheumatoid Arthritis,suppressed,3344,,,,0.09,,,,,,,,,,,,
Hypertension,Depression,Osteoporosis,suppressed,3328,,,,0.12,,,,,,,,,,,,
Hypertension,Depression,Hypothyroidism,suppressed,3296,,,,0.11,,,,,,,,,,,,
Hypertension,Depression,Sleep Apnea,suppressed,3351,,,,0.14,,,,,,,,,,,,
Hypertension,Depression,Cancer Lung,suppressed,3365,,,,0.17,,,,,,,,,,,,
Hypertension,Depression,Cancer Colorectal,suppressed,3323,,,,0.2,,,,,,,,,,,,
